fault_type,component,symptom,resolution,severity,text,cluster
,,,,,FUCK,-1
,,,,low,they stolen my car!,11
,,,,,FUCK,-1
,,,,,FUCK,-1
,,,,,FUCK,-1
,,,,low,they stolen my car!,11
communication_error,hackergotchi_server,server response is unexpected or incorrect,"check server logs for errors, ensure server is up and running",low,your hackergotchi can be a bum :),10
communication_error,hackergotchi_server,server response is unexpected or incorrect,"check server logs for errors, ensure server is up and running",low,your hackergotchi can be a bum :),10
communication issue,chatbot,incomprehensible input,clarify the input or provide a response,low,dude?,-1
communication issue,chatbot,incomprehensible input,clarify the input or provide a response template,low,dude?,-1
communication,,incomplete communication,clarify the issue,low,are you going to fix it???,2
communication,,incomplete communication,clarify the issue,low,are you going to fix it???,2
,,,fix on its way,low,fix on its way,2
,,,fix on its way,low,fix on its way,2
,,,,,thanks,-1
,,,,,thanks,-1
configuration,desktop environment,user does not customize desktop,"no action required, as normal installation does not indicate a fault",low,mine is normal installation. i don't customize my desktop,6
configuration,desktop,no customization,uncheck the customization option or reset to default settings,low,mine is normal installation. i don't customize my desktop,6
installation issue,cdrom,installation failure,"check cdrom drive, ensure it is properly connected and functioning",low,"#1094, cdrom install or netinstall?",6
installation issue,cdrom,installation failure,"check cdrom drive, ensure it is properly connected and functioning",low,"#1094, cdrom install or netinstall?",6
hardware,cdrom drive,device not recognized or not functioning,"check power supply, clean the drive, or replace the cdrom",low,"cdrom, custom (probably the same for desktop)",6
hardware,cdrom drive,device not recognized or not functioning,"check power supply, clean the drive, or replace the cdrom",low,"cdrom, custom (probably the same for desktop)",6
software,test script,/ not recognized,recheck the test script,low,"with the tests i did i always got the /, but i will check again later today",14
software,test tool,/ not recognized,recheck tests,low,"with the tests i did i always got the /, but i will check again later today",14
bug,,,fixed,low,bug fixed,2
bug,,,fixed,low,bug fixed,2
communication,daily system,unusual behavior or error,check for updates or restart the system,low,but what's the problem with daily?,1
communication,daily system,unusual behavior or error,check for updates or restart the system,low,but what's the problem with daily?,1
,,user inquiry,no specific resolution provided,low,is there any problem with it?,1
,,user inquiry,no specific resolution provided,low,is there any problem with it?,1
communication,user interface,user unable to understand system response,ensure the system is providing clear and concise responses,low,"no, i haven't tried it, i want to know! :)",5
communication,user interface,user unable to understand system response,clear the user interface or rephrase the response,low,"no, i haven't tried it, i want to know! :)",5
communication,system,unresponsive,reboot system,low,test it and let us know :-))),5
communication issue,communication system,no response,check the communication link and ensure it is connected properly,low,test it and let us know :-))),5
syntax_error,query,incorrect response,clarify the request,low,that's not what i asked :),10
configuration issue,configuration settings,system already configurable,verify if the system is correctly configured and all settings are enabled,low,it is already configurable,6
syntax_error,query,incorrect response,clarify the request,low,that's not what i asked :),10
configuration issue,configuration settings,system already configurable,verify if the system is correctly configured and all settings are enabled,low,it is already configurable,6
syntax_error,,undefined variable or function,check the spelling and case of the variable or function name. ensure it exists in the current scope.,low,for sure X is not,11
syntax_error,,undefined variable or function,check the spelling and case of the variable or function name. ensure it exists in the current scope.,low,for sure X is not,11
configuration error,pcp (powerpc),unable to determine settings,check the configuration settings in the pcp interface,low,who is responsable for setting that stuff on ppc?,5
,,,,,1187,3
,,,,,1187,3
configuration error,pcp (powerpc),unable to determine settings,check the configuration settings in the pcp interface,low,who is responsable for setting that stuff on ppc?,5
,ppc,unable to identify specific ppc packages,research and identify the specific ppc packages involved,low,i dunno really.. i don't have a ppc and i don't know all the specific ppc packages around,5
,powerpc-utils,inability to perform a specific task,"check if the task is supported by powerpc-utils, or update to a newer version",low,but perhaps powerpc-utils could do it?,6
communication,system,incomplete or unclear communication,clarify the message or ask for more details,low,i think kamion would have good ideas for this one,10
,powerpc-utils,inability to perform a specific task,"check if the task is supported by powerpc-utils, or update to a newer version",low,but perhaps powerpc-utils could do it?,6
,sysctl,system configuration issues,check sysctl.conf file for incorrect settings,low,sysctl,3
communication,system,incomplete or unclear communication,clarify the message or ask for more details,low,i think kamion would have good ideas for this one,10
,ppc packages,unable to identify specific ppc packages,research and identify the specific ppc packages involved,low,i dunno really.. i don't have a ppc and i don't know all the specific ppc packages around,5
,sysctl,system configuration issues,check sysctl.conf file for incorrect settings,low,sysctl,3
communication,season control system,inability to open hoary season,ensure warty is not in deep freeze before attempting to open hoary season,low,can we open hoary season while warty is in deep freeze?,9
communication,system,incomplete or unclear communication,clarify the message or rephrase the communication,low,we might want to take advantage of this month time,10
communication,season control system,inability to open hoary season,ensure warty is not in deep freeze before attempting to open hoary season,low,can we open hoary season while warty is in deep freeze?,9
communication,system,incomplete or unclear communication,clarify the message or rephrase the communication,low,we might want to take advantage of this month time,10
communication_error,release_schedule_system,misunderstood release schedule,clarify the release schedule in a clear and concise manner,low,otherwise hoary will have a 5 months release schedule :-),9
communication_error,release_schedule_system,misunderstood release schedule,clarify the release schedule in a clear and concise manner,low,otherwise hoary will have a 5 months release schedule :-),9
communication,process reqs,unspecified,clarify the requirements,low,see the process reqs,6
communication,process reqs,unresolved communication,check process requirements,low,see the process reqs,6
ui freeze,sounder list,preview freeze during upload requirements,restart the application or clear browser cache,low,preview freeze upload requirements on sounder list,4
ui freeze,sounder list,preview freeze during upload requirements,restart the application or check for updates,low,preview freeze upload requirements on sounder list,4
build,not specified in the message,build issues,check build logs for errors and fix the issues,low,there have been some build issues,1
input-output,binary loader,"sources go in, binaries don't turn up","check binary loader for errors, ensure proper input/output paths",low,"sources go in, binaries don't turn up, etc.",1
build,not specified in the message,build issues,check build logs for errors and fix the issues,low,there have been some build issues,1
input-output,binary loader,"sources go in, binaries don't turn up","check binary loader for errors, ensure proper input/output paths",low,"sources go in, binaries don't turn up, etc.",1
vision issue,display,unable to see the content,check if the display thread is properly connected and powered on. ensure there is no physical damage to the display.,low,he can still see via thread..,5
vision,thread,vision impairment,check thread for obstructions or damage,low,he can still see via thread..,5
configuration,ide (kdevelop),unable to locate the development environment directory,ensure the path to the kdevelop directory is correctly set in the ide's configuration settings,low,perhaps you need to point it at the dir kdevelop is in,0
configuration,ide (kdevelop),unable to locate the directory,ensure the path to kdevelop is correctly set in the ide settings,low,perhaps you need to point it at the dir kdevelop is in,0
query,xmms,user confusion,clarify that 'xmms' is a music player command,low,with xmms?,11
user_query,,,the user is seeking information about a preferred player application.,low,or what player do you use,4
software,media player,unable to play mp3s,install or update mp3 player software,low,is one able to play mp3s in Ubuntu or not?,4
software,media player,unable to play mp3s,install mpg123 or ffmpeg,low,is one able to play mp3s in Ubuntu or not?,4
query,xmms,user confusion,clarify that 'xmms' is a music player command,low,with xmms?,11
user_query,,,the user is seeking information about a preferred player application.,low,or what player do you use,4
software,alsa,cannot use alsa on ubuntu,install alsa-utils package,low,you can't use alsa on Ubuntu?,4
software,alsa,cannot use alsa on ubuntu,install alsa-utils package,low,you can't use alsa on Ubuntu?,4
driver_incompatibility,alsa_drivers,apps crash or behave unpredictably when trying to use oss emulation,switch apps to use esd for oss emulation,low,"we use the alsa drivers, but set apps to use esd to talk to oss emulation (more stable than the alsa libraries)",4
driver_incompatibility,alsa_drivers,apps crash or behave unpredictably when trying to use oss emulation,use esd for oss emulation instead of alsa drivers,low,"we use the alsa drivers, but set apps to use esd to talk to oss emulation (more stable than the alsa libraries)",4
libs exposition,libraries,libs not well exposed,documentation and api improvements,low,"it is, but the libs are not well exposed yet :-)",11
libs exposition,libraries,libs not well exposed,documentation and exposure of libs,low,"it is, but the libs are not well exposed yet :-)",11
,,,,low,"i have a 220R, an ultra 5 and an SS10 -> i'll help! ;)",3
,,,,low,"i have a 220R, an ultra 5 and an SS10 -> i'll help! ;)",3
communication,mark,unclear communication about resource allocation,mark should clarify the number of porters needed for arch foo and the placement of buildd's at the datacenter,low,no. Mark said that if there are enough porter for arch foo he will take care of placing buildd's at the datacenter,10
performance,r220,performance inferior to u60 and t1,upgrade to u60 or t1,low,you R220 sucks compared to my U60 or my t1 ;),3
communication,external buildds,unresolved communication issues,contact lamont,low,we'll have to sort out external buildds with lamont :),10
,,,,low,but it's bigger and louder and manlier :-),10
communication,ubuntu-user,no response or issue,check if the user is online or if there is a network issue,low,follow up on ubuntu-user :-),8
communication,external buildds,unresolved communication issues,contact lamont,low,we'll have to sort out external buildds with lamont :),10
performance,r220,performance inferior to u60 and t1,upgrade to u60 or t1,low,you R220 sucks compared to my U60 or my t1 ;),3
communication,ubuntu-user,no response or issue,check if the user is online or if there is a network issue,low,follow up on ubuntu-user :-),8
,,,,low,but it's bigger and louder and manlier :-),10
communication,mark,unclear communication about resource allocation,mark should clarify the number of porters needed for arch foo and the placement of buildd's at the datacenter,low,no. Mark said that if there are enough porter for arch foo he will take care of placing buildd's at the datacenter,10
communication,communication system,incomplete or unclear communication,clarify the communication,low,we'll have to at some stage,10
,,system is functioning normally,no action required,low,true :-),10
communication,buildd,no external buildd,check network connectivity or external buildd configuration,low,no external buildd,1
communication,communication system,incomplete or unclear communication,clarify the communication,low,we'll have to at some stage,10
,,system is functioning normally,no action required,low,true :-),10
communication,buildd,no external buildd,check network connectivity or external buildd configuration,low,no external buildd,1
,,,,low,we can buy one E10K and that's it,2
,,,,low,i don't think so,11
communication issue,email system,messages not delivered to recipients,"verify email addresses and contact details, check for any blocked emails",low,"eheh well you will have to convice: Mark, elmo, lamont & Co.",10
communication issue,email system,messages not reaching intended recipients,"check email settings for mark, elmo, and lamont to ensure they are set to receive emails from the system.",low,"eheh well you will have to convice: Mark, elmo, lamont & Co.",10
,,,,low,we can buy one E10K and that's it,2
,,,,low,i don't think so,11
syntax_or_semantics_error,user_input_or_chatbot_response,ambiguous or misunderstood input,clarify the input or rephrase the response,low,well that goes behiond my problem ;),10
communication_error,web_interface,user unable to understand interface,rephrase instructions or improve user interface,low,well that goes behiond my problem ;),10
communication issue,busid,communication failure,check busid discussion for troubleshooting steps,low,see busid discussion above,5
,,,,low,not now..,11
,,system or service is not responding,try restarting the system or service,low,not now..,11
communication issue,busid,communication failure,check busid discussion for troubleshooting steps,low,see busid discussion above,5
,,,,low,http://www.gnome.org/~jdub/blog/1095608125 :-),6
,,,,low,http://www.gnome.org/~jdub/blog/1095608125 :-),6
,,,,,knows,11
,,,,,knows,11
crash,trash appplet,crashing,restart the trash appplet or the system,low,is the trash appplet crashing common atm?,1
component_crash,trash appplet,crashing,restart trash appplet,low,is the trash appplet crashing common atm?,1
bug,,,,low,seb has filed a bug report,14
bug,,,,low,seb has filed a bug report,14
,,,,low,i am purist :P,10
,,,,low,same thing these days :),10
,,,,low,i am purist :P,10
,,,,low,same thing these days :),10
performance degradation,java 1.5,loads much faster,check for updates or use a newer version of java,low,java 1.5 loads _much_ faster,7
version_mismatch,java_runtime,system hangs or crashes,update to a compatible version of java,high,java 1.4?,6
loading time delay,java plugin,loading takes longer than expected,"check for updates, disable unnecessary browser extensions, or clear browser cache",low,any ideas why java plugin takes so long to load?,7
performance degradation,java 1.5,loads much faster,check for updates or use a newer version of java,low,java 1.5 loads _much_ faster,7
version_mismatch,java_runtime,system hangs or crashes,update to a compatible version of java,high,java 1.4?,6
loading time delay,java plugin,loading takes longer than expected,"check for updates, disable unnecessary browser extensions, or clear browser cache",low,any ideas why java plugin takes so long to load?,7
,,,,low,not yet.,11
package_missing,software,unable to find package,search for .deb file or use package manager to install,low,noneus: how can i get 1.5 is there a .deb somewhere?,-1
query,,,check the system documentation or contact support for clarification.,low,noneus: is this blackdown or sun?,-1
installation,java runtime environment (jre),user confusion about installation,confirm installation of jre and guide user on how to check its version,low,did you install just the jre?,6
installation,java runtime environment (jre),user confusion about installation,confirm installation of jre and guide user on how to check its version,low,did you install just the jre?,6
query,,,check the system documentation or contact support for clarification on the terms 'blackdown' and 'sun'.,low,noneus: is this blackdown or sun?,-1
,,,,low,not yet.,11
package_missing,software,unable to find package,search for .deb file or use package manager to install,low,noneus: how can i get 1.5 is there a .deb somewhere?,-1
,globus development,,,low,"(jdk, because I do globus development)",6
development,globus,,check the documentation or seek support,low,"(jdk, because I do globus development)",6
software version mismatch,ibm's software,system may not function as expected,update to the latest version,low,I use IBM's 1.4.2,6
software version mismatch,ibm's software,system may not function as expected,update to the latest version,low,I use IBM's 1.4.2,6
communication_error,jre_plugin,unable to determine standard jre with plugin,check if the jre is properly installed and if the plugin is enabled,low,"ah ok then, i'll give it a try, does IBM have a standard jre with plugin?",6
software upgrade,firefox and java,java takes real long time to load,rolling back the upgrade or restarting the computer,low,"thanks, i'll try that, screwed up and tried to upgrade firefox/java on my own now java takes real long time to load",7
communication_error,jre_plugin,unable to connect or receive response from ibm jre plugin,"ensure the jre plugin is installed and up-to-date, check network connectivity",low,"ah ok then, i'll give it a try, does IBM have a standard jre with plugin?",6
software upgrade,firefox and java,java takes real long time to load,rolling back the upgrade or restarting the computer,low,"thanks, i'll try that, screwed up and tried to upgrade firefox/java on my own now java takes real long time to load",7
missing_dependency,jre package,unable to find ibm jre package,visit the official ibm website or use a package manager to install the jre package,low,"can't seem to find an ibm jre package, would you happen to have a url?",6
software_missing,ibm jre package,unable to locate ibm jre package,visit the official ibm website or use package managers like maven or npm to install the ibm jre package,low,"can't seem to find an ibm jre package, would you happen to have a url?",6
ui error,login page,unable to create login,check if the username and password fields are filled correctly. ensure the login credentials are correct and try again.,low,you have to create a login.,6
,,,,low,much appreciated,-1
ui error,login page,unable to create login,check if the username and password fields are filled correctly. ensure the login credentials are correct and try again.,low,you have to create a login.,6
link error,software,unable to download,check internet connection and try again,low,https://www6.software.ibm.com/dl/lxdk/lxdk-p,6
link error,software,unable to download,check internet connection and try again,low,https://www6.software.ibm.com/dl/lxdk/lxdk-p,6
,,,,low,much appreciated,-1
query,ibm java,version query,check the latest version of ibm java by visiting the ibm website or using the package manager.,low,1.42 is latest IBM java?,6
query,ibm java,version query,check the latest version of ibm java by visiting the ibm website or using the package manager.,low,1.42 is latest IBM java?,6
software installation,j2se-common,unable to find j2se-common in ubuntu,install j2se-common using the following command: sudo apt-get install j2se-common,low,do you have j2se-common installed in ubuntu as well is ibm's java?,6
,,,,low,for certain arches,11
,,,,low,yes.,11
,,,,low,for certain arches,11
,,,,low,yes.,11
software installation,j2se-common,unable to find j2se-common in ubuntu,install j2se-common using the following command: sudo apt-get install j2se-common,low,do you have j2se-common installed in ubuntu as well is ibm's java?,6
,unclear,system does not respond,"check system logs for error messages, restart the system",low,I do not.,11
,,,,low,"ok, got it",-1
,,,,low,"ok, got it",-1
,unclear,system does not respond,"check system logs for error messages, restart the system",low,I do not.,11
java runtime environment,java applet,loading a java applet takes a really long time,try updating java runtime environment or using a different java plugin,low,"i don't know what's up, no matter what java plugin i use, it takes a really long time to load a java applet",7
java runtime environment,java applet,loading a java applet takes a really long time,try updating the java runtime environment or using a different java plugin,low,"i don't know what's up, no matter what java plugin i use, it takes a really long time to load a java applet",7
software compatibility,mozilla-firefox,incompatibility issues,update to a compatible version or use a different browser,low,Hoary (kernel from Warty) mixed with Debian Sid+experimental. mozilla-firefox 1.0-2 from Sid.,12
communication_error,user_interface,user hesitation or refusal to proceed,rephrase the message or provide alternative options,low,"eh, i dare not to go there :)",10
software_incompatibility,firefox,user confusion about version numbers,clarify version numbers or update user guide,low,are you using warty or hoary?  and firefox .9 or 1.0?,12
communication_error,user_interface,ambiguous response,rephrase the message or ask for clarification,low,"eh, i dare not to go there :)",10
software compatibility,mozilla-firefox,incompatibility issues,update to a compatible version or use a different browser,low,Hoary (kernel from Warty) mixed with Debian Sid+experimental. mozilla-firefox 1.0-2 from Sid.,12
software_incompatibility,firefox,user confusion about version numbers,clearly state the version numbers and their differences,low,are you using warty or hoary?  and firefox .9 or 1.0?,12
,web browser,user confusion,clarify the source of the web browser,low,where'd you get that mozilla-firefox from sid? ;),12
download_error,web_browser,unable to download .deb file,"check internet connection, try downloading from a different source, ensure browser settings allow .deb file downloads",low,i can get the .deb on the web?,-1
,,,,low,it's in Sid's pool,12
,web browser,user confusion,clarify the source of the web browser,low,where'd you get that mozilla-firefox from sid? ;),12
,,,,low,it's in Sid's pool,12
download_error,web_browser,unable to download .deb file,"check internet connection, try downloading from a different source, ensure browser settings allow .deb file downloads",low,i can get the .deb on the web?,-1
delayed delivery,delivery system,delayed product arrival,wait a couple days or check the delivery status,low,"sure, but I'd wait a couple days. It'll probably be in Hoary within days.",9
communication,network interface,unstable communication,"check network interface settings, update drivers",low,but...Hoary...isn't that unstable?,9
delayed delivery,delivery system,delayed product arrival,wait a couple days or check the delivery status,low,"sure, but I'd wait a couple days. It'll probably be in Hoary within days.",9
communication,network interface,unstable communication,"check network interface settings, update drivers",low,but...Hoary...isn't that unstable?,9
query,,,,low,how did you hold back and keep Warty kernel?,7
query,,,,low,how did you hold back and keep Warty kernel?,7
apt-pinning issue,package manager (apt),package version mismatch,check apt-pinning configuration and ensure it aligns with the desired package versions,low,"I use apt-pinning to keep the linux-* (well, kernel-related) packages pinned to warty-security",7
apt-pinning issue,package manager (apt),package version mismatch,check apt-pinning configuration and ensure it aligns with the desired package versions,low,"I use apt-pinning to keep the linux-* (well, kernel-related) packages pinned to warty-security",7
,,,,,indeed.,11
,ibm's java,,,low,"ok so far IBM's java is pretty clean, fast, and seems stable (so far) :D",6
,,,,,indeed.,11
,ibm's java,,,low,"ok so far IBM's java is pretty clean, fast, and seems stable (so far) :D",6
software update error,apt,system upgrade failed,wait for the error to be fixed and avoid `apt-get upgrade`,low,so just wait a day for sed error to be fixed and don't `apt-get upgrade` at this time?,14
software update error,apt,system upgrade failed,wait for the error to be fixed and avoid `apt-get upgrade`,low,so just wait a day for sed error to be fixed and don't `apt-get upgrade` at this time?,14
,,no visible symptom reported,no specific resolution needed as no fault reported,low,"got it, thanks",-1
,,,,low,"got it, thanks",-1
migration issue,package,migrating package to pool,fixed,low,it is already fixed. The matter of the fixed package migrating to pool is of time.,14
migration issue,package,package not migrating to pool,the issue has been resolved. the package has been successfully migrated to the pool.,low,it is already fixed. The matter of the fixed package migrating to pool is of time.,14
software crash,,system stops functioning,restart the system,low,"LOL, CRASH! :D",10
software crash,,system stops functioning,restart the system,low,"LOL, CRASH! :D",10
user_error,sed,unable to find older version of sed,use package manager to install older version of sed,low,I had no older version of sed,14
user_error,sed,unable to find older version of sed,use package manager to install older version of sed,low,I had no older version of sed,14
software,operating system,unrecognized error message,update to a newer version of the operating system,low,"haven't seen that, i'm running warty with UTF-8 only",13
software,operating system,unseen error,update to a newer version of the operating system,low,"haven't seen that, i'm running warty with UTF-8 only",13
command_execution_error,system_configuration,command not found or unexpected behavior,"ensure correct spelling and syntax, check for missing dependencies or incorrect file permissions",low,I followed the instructions but when I did: sudo nano /etc/environment,13
syntax_error,text_processing,incorrect input,correct the input to 'they are',low,sure they are,11
syntax_error,text_processing,incorrect input,check input for proper format,low,sure they are,11
command_execution_error,system_configuration,command not found or unexpected behavior,"ensure correct spelling and syntax, check for missing dependencies or incorrect file permissions",low,I followed the instructions but when I did: sudo nano /etc/environment,13
,,,"no specific symptom provided, further details are needed",low,what?,-1
,,,,,what?,-1
,,,,low,I already did that,10
,,,,low,I already did that,10
data integrity issue,database,files were found to be incorrect,verify and correct the data in the database,low,I didn't want to but I like I said.. I had to find the culprit and therefor I checked and both files were wrong,14
user error,,no visible symptom,inform the user that providing instructions to others is not recommended,low,I wouldn't tell others to do it :),10
data integrity issue,database,files were found to be incorrect,verify and correct the data in the database,low,I didn't want to but I like I said.. I had to find the culprit and therefor I checked and both files were wrong,14
user error,,no visible symptom,inform the user that providing instructions to others is not recommended,low,I wouldn't tell others to do it :),10
software_configuration_error,locale,error when running dpkg-reconfigure locales,"check if lang is set to a valid locale, or try setting lang to a valid locale manually",low,sudo dpkg-reconfigure locales updates LANG --> gives me that error,13
software_configuration_error,locale,error when running dpkg-reconfigure locales,"check if lang is set to a valid locale, or try setting lang to a valid locale manually",low,sudo dpkg-reconfigure locales updates LANG --> gives me that error,13
user error,,,ensure that the user follows the correct procedure for copying and pasting. verify that the source and destination are correctly identified.,low,I mearly copied and pasted your suggestion,10
,,,,low,that was a sentence,6
user error,,,ensure that the user follows the correct procedure for copying and pasting. verify that the source and destination are correctly identified.,low,I mearly copied and pasted your suggestion,10
,,,,low,that was a sentence,6
user mistake,,,refer to jeff's advice or documentation for the correct procedure,low,and I did that before... according to Jeff's advice,10
,,,no action required as there are no errors.,low,sorry no errors this time,2
,,,no action required as there are no errors.,low,sorry no errors this time,2
user mistake,,,refer to the documentation or jeff's advice for the correct procedure,low,and I did that before... according to Jeff's advice,10
syntax_error,command_interpreter,unexpected command received,type 'help' for command syntax,low,"after you do, type 'locales'",13
syntax_error,command_processor,unexpected command received,correct the input to match the expected commands,low,"after you do, type 'locales'",13
syntax_error,text_input,invalid input format,correct the input format to 'okay',low,that okay?,2
syntax_error,text_input,invalid input format,correct the input format to 'okay',low,that okay?,2
,,,,low,same deal,2
,,,,low,same deal,2
system_information_query,/etc/environment,missing or incorrect information,check the file for missing or incorrect entries,low,what's in /etc/environment now?,13
command_not_found,/etc/environment,command not found,run 'source /etc/environment' to apply changes,low,what's in /etc/environment now?,13
component_inspection,first component,bare and insufficient,add more components or material,low,the first one is too bare? it should have more?,11
component_inspection,first component,bare and insufficient,add more components,low,the first one is too bare? it should have more?,11
communication,input device,incomplete or unclear input,provide more details or rephrase the question,low,got any more input on the matter?,1
communication,input system,no response or incomplete input,check for any network or software connectivity issues,low,got any more input on the matter?,1
syntax_error,command_line,command not recognized,use spaces instead of commas to separate the packages,low,you can put: main restricted universe multiverse on one line can't you,6
syntax_error,command_line,command not recognized,use spaces instead of colons to separate the components,low,you can put: main restricted universe multiverse on one line can't you,6
xlib errors,progs,get xlib errors,check if iso and utf are correctly set in local.gen,low,I have now ISO and UTF in local.gen but I still get the xlib errors with certain progs,13
xlib errors,progs,get xlib errors,check if iso and utf are correctly set in local.gen,low,I have now ISO and UTF in local.gen but I still get the xlib errors with certain progs,13
,xorg,kamion and daniels thought it was/is,it has nothing to do with xorg,low,has nothing to do with xorg? Kamion and daniels thought it was/is,11
hardware,kamion and daniels,system not responding to xorg,check system for hardware issues,low,has nothing to do with xorg? Kamion and daniels thought it was/is,11
version_mismatch_or_conflict,software_or_application,system_stability_issues_or_unexpected_behavior,upgrade_to_latest_version_or_unpin_the_component,low,so it does.. okay I'll ride it out no biggie... just downgraded a version and pinned it,14
version_mismatch_or_conflict,software_or_application,system_stability_issues_or_unexpected_behavior,upgrade_to_latest_version_or_unpin_the_component,low,so it does.. okay I'll ride it out no biggie... just downgraded a version and pinned it,14
sound,gstreamer,sound is busted,install gstreamer again,low,quick question... if you remove gstreamer.. is there a chance your sound is busted,4
configuration issue,,system behavior varies based on configuration,check and adjust configuration settings,low,depends how things are configured,5
sound,gstreamer,sound is busted,install gstreamer again,low,quick question... if you remove gstreamer.. is there a chance your sound is busted,4
configuration issue,,system behavior varies based on configuration,check and adjust configuration settings,low,depends how things are configured,5
software,gstreamer,installation issues,reinstall gstreamer,low,so re installing gstreamer could fix it?,4
software,gstreamer,installation issues,reinstall gstreamer,low,so re installing gstreamer could fix it?,4
command_error,snd_intel8x0m,command not found,"run 'lsmod' first to check if the module is loaded, then use 'modinfo snd_intel8x0m' to verify its presence and dependencies",low,lsmod|grep snd_intel8x0m|wc -l,3
command_error,snd_intel8x0m,command not found,"run the command 'lsmod' first to list all loaded kernel modules, then use 'grep snd_intel8x0m' to check if the module is loaded. if not, load the module using 'modprobe snd_intel8x0m'.",low,lsmod|grep snd_intel8x0m|wc -l,3
,laptop,unspecified,specify the issue or check the laptop for any error messages,low,dell laptop?,3
,laptop,incomplete query,specify the issue to resolve,low,dell laptop?,3
software installation,hsf,system upgrade issue,ensure proper sequence of installation and upgrade steps,low,0 but i did install hsf deb early on then upgraded to hoary,12
,laptop,no specific symptom mentioned,no specific resolution provided,low,and yes dell laptop sorry,3
software installation,hsf,system upgrade issue,ensure proper sequence of installation and upgrade steps,low,0 but i did install hsf deb early on then upgraded to hoary,12
,laptop,no specific symptom mentioned,no specific resolution provided,low,and yes dell laptop sorry,3
,,,,low,roger,10
hardware,sound chipset,no irq assigned,check /proc/interrupts and assign an irq to the sound chipset,low,look in /proc/interrupts and ensure an irq is being assigned to your sound chipset,4
hardware fault,sound chipset,no irq assigned to sound chipset,check /proc/interrupts and assign an irq to the sound chipset,low,look in /proc/interrupts and ensure an irq is being assigned to your sound chipset,4
,,,,low,roger,10
software,snd_intel8x0,not loaded or not functioning properly,ensure snd_intel8x0 is loaded and functioning correctly,low,"and snd_intel8x0 is loaded, correct?",3
driver,snd_intel8x0,not loaded or not functioning,reinstall or update the driver,low,"and snd_intel8x0 is loaded, correct?",3
user_query,,,the message 'how to fix?' is a user query seeking assistance. it does not indicate a specific fault or symptom.,low,"ok, thanks! how to fix?",2
,,,,low,nope,11
hardware,keyboard controller,inability to recognize keyboard input,"check keyboard connection, try resetting keyboard controller",low,only thing closely resembling is i8042 would that be it?,3
user_query,,,the message 'how to fix?' is a user query seeking assistance. it does not indicate a specific fault or symptom.,low,"ok, thanks! how to fix?",2
hardware,keyboard controller,inability to recognize keyboard input,"check keyboard connection, try resetting keyboard controller",low,only thing closely resembling is i8042 would that be it?,3
,,,,low,nope,11
,,system is loaded,no specific resolution needed as the system is loaded,low,yes it is loaded,3
,,system is loaded,no specific resolution needed as the system is loaded,low,yes it is loaded,3
installation error,hsf,installation process is not proceeding as expected,ensure hsf is properly downloaded and try installing again,low,could be installing hsf from the get-go cause this?,12
